alpha,dataset,original_rho,retrofitted_rho,delta,covered_pairs,total_pairs,runtime_seconds
0.111,French_SimLex,0.3206,0.2736,-0.047,908,999,2.61
0.25,French_SimLex,0.3206,0.3085,-0.0121,908,999,2.58
0.429,French_SimLex,0.3206,0.3318,0.0112,908,999,2.7
0.667,French_SimLex,0.3206,0.3445,0.0239,908,999,2.66
1.0,French_SimLex,0.3206,0.3525,0.0319,908,999,2.42
1.5,French_SimLex,0.3206,0.355,0.0344,908,999,2.23
2.333,French_SimLex,0.3206,0.3552,0.0346,908,999,2.34
4.0,French_SimLex,0.3206,0.3485,0.0279,908,999,2.5
9.0,French_SimLex,0.3206,0.3373,0.0166,908,999,2.23
